visible_mean,visible_max,visible_min,visible_mean_distribution,visible_contrast,visible_entropy,visible_second_angular_momentum,IR_mean,IR_max,IR_min,class,log_entropy,entropy_x_contrast,IR_range,IR_norm_range
5.0,213.0,83.1211,0.0781,701.7667,0.027,3.8126,153.0,237.0,190.1406,0.0,-3.611918412977808,18.9477009,46.859399999999994,0.008146706215522288
3.0,177.0,26.8125,0.0349,271.0792,0.1171,2.8282,154.0,239.0,223.1211,0.0,-2.1447270083784655,31.74337432,15.878899999999987,0.006955631053934621
3.0,195.0,58.9219,0.0575,614.7667,0.1009,3.1781,153.0,240.0,209.625,0.0,-2.2936253516225737,62.029960030000005,30.375,0.007483017058940451
7.0,201.0,121.0664,0.0758,676.35,0.0275,3.7934,77.0,237.0,154.6992,0.0,-3.5935692743096115,18.599625,82.30080000000001,0.019896173205304735
8.0,124.0,43.4063,0.0398,230.2292,0.0509,3.243,59.0,227.0,172.6563,0.0,-2.9778923554256598,11.718666279999999,54.34370000000001,0.022283911025074928
8.0,166.0,69.9609,0.0659,542.725,0.0317,3.6293,150.0,233.0,190.8125,0.0,-3.451438598098902,17.2043825,42.1875,0.008140626705972268
13.0,178.0,91.9688,0.1058,1085.3584,0.0202,4.0505,149.0,233.0,183.2969,0.0,-3.902072674574978,21.92423968,49.703100000000006,0.008531286613476524
7.0,189.0,103.625,0.0889,813.8126,0.0233,3.9156,150.0,236.0,178.7422,0.0,-3.759301918410482,18.96183358,57.2578,0.008802248899998621
7.0,188.0,84.0508,0.0947,901.7875,0.021,3.9842,150.0,236.0,187.5078,0.0,-3.863232841258714,18.9375375,48.4922,0.008390762055409607
7.0,171.0,73.6289,0.08,740.1833,0.0255,3.8339,151.0,236.0,193.3711,0.0,-3.6690768268177565,18.87467415,42.62889999999999,0.00808245858499418
6.0,189.0,65.3516,0.0848,797.3792,0.0241,3.8927,150.0,236.0,199.9023,0.0,-3.725543438485528,19.21683872,36.0977,0.00787051141149118
9.0,178.0,103.9961,0.1142,1293.8959,0.0186,4.1176,151.0,232.0,176.5898,0.0,-3.9845936982629815,24.066463739999996,55.4102,0.008700524271841311
9.0,187.0,76.4453,0.0962,953.1791,0.0214,3.9942,150.0,231.0,191.9688,0.0,-3.844364356954331,20.398032739999998,39.03120000000001,0.008022136930584555
10.0,169.0,68.0156,0.0867,817.6666,0.0233,3.9259,154.0,231.0,196.6953,0.0,-3.759301918410482,19.05163178,34.3047,0.0076260083489539405
10.0,166.0,74.7852,0.0996,1016.4583,0.0216,4.013,155.0,230.0,194.5898,0.0,-3.835061964292018,21.95549928,35.4102,0.007625635915869873
11.0,157.0,65.6172,0.0945,922.4584,0.0237,3.9493,160.0,231.0,199.9414,0.0,-3.7422802308410517,21.86226408,31.058600000000013,0.007220865713654101
4.0,144.0,28.6445,0.0533,383.5667,0.0395,3.4849,163.0,234.0,220.2539,0.0,-3.2314546070750607,15.150884650000002,13.746100000000013,0.006517854267669675
4.0,94.0,17.5625,0.0357,212.0,0.0617,3.1088,186.0,234.0,226.668,0.0,-2.785471348070795,13.0804,7.331999999999994,0.005550251981439957
4.0,61.0,10.457,0.0166,46.9792,0.1185,2.4576,198.0,234.0,230.6445,0.0,-2.132842318406951,5.567035199999999,3.3555000000000064,0.005123981633284912
5.0,97.0,21.7852,0.0391,227.6583,0.0538,3.2015,191.0,235.0,225.25,0.0,-2.9224818118143983,12.24801654,9.75,0.005462226380229065
7.0,153.0,48.3359,0.0769,732.0042,0.0291,3.7615,161.0,237.0,211.332,0.0,-3.5370171048046903,21.30132222,25.668000000000006,0.006965578754949528
7.0,157.0,82.5742,0.0933,894.1209,0.0224,3.9413,158.0,236.0,190.6445,0.0,-3.7986943201211427,20.02830816,45.355500000000006,0.007834849083377435
6.0,125.0,30.8516,0.0521,345.225,0.0393,3.4754,172.0,237.0,222.2344,0.0,-3.2365307601069215,13.567342500000002,14.765600000000006,0.0062002416221079455
6.0,64.0,15.7305,0.0249,89.2917,0.0808,2.8185,213.0,237.0,231.6563,0.0,-2.5157783134550873,7.21476936,5.3437000000000126,0.004803133160367442
7.0,52.0,20.4023,0.0317,116.7208,0.0561,3.0741,210.0,236.0,227.7109,0.0,-2.8806194664534863,6.54803688,8.28909999999999,0.004935246946059779
7.0,84.0,18.8906,0.0326,173.2833,0.0695,3.0419,195.0,236.0,227.168,0.0,-2.6664285264113907,12.04318935,8.831999999999994,0.005327583155446235
9.0,106.0,34.4063,0.057,356.3791,0.0333,3.5622,182.0,235.0,219.6797,0.0,-3.402197881995739,11.86742403,15.320300000000003,0.005877688248885952
10.0,150.0,56.3711,0.0721,547.4083,0.0282,3.7506,161.0,236.0,207.9805,0.0,-3.5684333010380693,15.436914060000001,28.019499999999994,0.007047961271930638
15.0,140.0,60.5469,0.0692,496.1917,0.0295,3.6945,163.0,231.0,205.1367,0.0,-3.523365015636363,14.63765515,25.86330000000001,0.006908456234844518
4.0,168.0,47.4375,0.0855,948.3625,0.031,3.814,152.0,237.0,206.0938,0.0,-3.473768074496991,29.399237499999998,30.906200000000013,0.007565538246739055
4.0,157.0,61.0078,0.0869,885.1249,0.0246,3.9049,155.0,238.0,200.3516,0.0,-3.70500883604382,21.774072540000002,37.64840000000001,0.007663946137528934
5.0,224.0,97.0195,0.0839,798.946,0.0249,3.8629,153.0,239.0,188.3047,0.0,-3.6928874755114753,19.8937554,50.6953,0.008295552385405006
4.0,161.0,43.8945,0.071,679.4,0.0315,3.7563,153.0,239.0,214.5625,0.0,-3.4577677331505496,21.4011,24.4375,0.007280356554700723
4.0,182.0,64.0859,0.0945,919.7751,0.0215,3.9708,151.0,238.0,200.8906,0.0,-3.83970234384852,19.775164649999997,37.109399999999994,0.007845857100319034
4.0,182.0,56.2305,0.0478,249.175,0.0395,3.4054,65.0,238.0,197.207,0.0,-3.2314546070750607,9.8424125,40.793000000000006,0.018566980185989655
5.0,152.0,43.4297,0.0569,576.2334,0.0491,3.4366,127.0,238.0,210.2188,0.0,-3.0138962441816624,28.293059939999996,27.781200000000013,0.00891459635404396
13.0,168.0,77.4258,0.0474,253.6792,0.0395,3.4025,55.0,217.0,146.25,0.0,-3.2314546070750607,10.0203284,70.75,0.026977466977466977
6.0,164.0,78.375,0.061,405.325,0.031,3.6235,131.0,236.0,180.3594,0.0,-3.473768074496991,12.565075,55.640600000000006,0.009988537983366833
4.0,162.0,45.5078,0.0765,767.7626,0.031,3.7926,151.0,238.0,208.9531,0.0,-3.473768074496991,23.8006406,29.046899999999994,0.007543123028073529
4.0,190.0,37.6953,0.0549,575.3,0.1141,3.1594,153.0,240.0,219.4688,0.0,-2.1706800221141074,65.64173,20.531200000000013,0.007147382457007065
4.0,189.0,46.25,0.0591,718.1918,0.1233,3.1235,151.0,239.0,215.3125,0.0,-2.0931348688118385,88.55304894,23.6875,0.007351089495285423
19.0,179.0,91.793,0.0972,1048.275,0.0227,3.9663,153.0,228.0,184.6328,0.0,-3.78539035449478,23.795842500000003,43.3672,0.008071134047858086
5.0,169.0,60.9102,0.0964,1006.0501,0.022,3.9976,155.0,237.0,202.3008,0.0,-3.816712825623821,22.1331022,34.69919999999999,0.007558211623802358
7.0,179.0,63.7422,0.1006,1071.4249,0.0211,4.0339,154.0,236.0,200.0625,0.0,-3.858482238500116,22.60706539,35.9375,0.007659943929859581
7.0,177.0,74.5078,0.0951,1087.2251,0.0241,3.9288,152.0,233.0,194.1328,0.0,-3.725543438485528,26.202124910000002,38.8672,0.007896114087068775
12.0,183.0,99.9375,0.0839,737.5167,0.0235,3.8807,152.0,228.0,178.8555,0.0,-3.750754857832024,17.33164245,49.144499999999994,0.008386658503652389
7.0,189.0,80.5117,0.0771,648.3583,0.0268,3.7921,153.0,235.0,189.6445,0.0,-3.619353391465326,17.37600244,45.355500000000006,0.008099089150585968
13.0,189.0,104.625,0.0963,929.8791,0.0231,3.9346,151.0,227.0,177.1563,0.0,-3.767922661454389,21.48020721,49.84370000000001,0.008485790560528447
9.0,179.0,95.3164,0.0925,831.4083,0.024,3.8765,153.0,232.0,183.6719,0.0,-3.7297014486341915,19.953799200000002,48.328100000000006,0.008255698717555847
5.0,147.0,45.4648,0.0721,597.7458,0.0284,3.7547,157.0,237.0,211.5039,0.0,-3.5613661338149765,16.975980720000003,25.496100000000013,0.007137240212248514
5.0,94.0,20.5938,0.0441,248.35,0.0483,3.2979,186.0,236.0,225.125,0.0,-3.03032371832361,11.995305,10.875,0.0056360564322091074
6.0,125.0,40.3828,0.0722,564.6875,0.0283,3.7342,172.0,235.0,214.4922,0.0,-3.564893474332945,15.98065625,20.507800000000003,0.006369831023074228
11.0,136.0,60.6641,0.09,851.3667,0.0238,3.9051,170.0,235.0,206.6172,0.0,-3.738069698304708,20.26252746,28.382800000000003,0.006690405935113198
7.0,174.0,45.5234,0.0802,732.45,0.0264,3.8021,159.0,236.0,215.5273,0.0,-3.6343912688298667,19.33668,20.472700000000003,0.0068867226080396695
5.0,116.0,17.6602,0.0332,263.2917,0.1148,2.812,176.0,238.0,230.2891,0.0,-2.164563795096671,30.22588716,7.710900000000009,0.0058720657090271635
5.0,70.0,12.2969,0.0186,69.525,0.1573,2.4648,200.0,239.0,233.5234,0.0,-1.8496004689179049,10.9362825,5.476599999999991,0.005117260197479139
5.0,118.0,35.6602,0.0539,355.0542,0.0385,3.5045,174.0,237.0,219.3516,0.0,-3.2570970376883985,13.669586699999998,17.64840000000001,0.0062095237304730915
10.0,118.0,42.5859,0.0582,403.9167,0.0355,3.551,174.0,233.0,214.8086,0.0,-3.338222582500767,14.339042849999998,18.191399999999987,0.006233830767344114
12.0,157.0,61.1992,0.0746,547.9626,0.0298,3.6918,161.0,233.0,203.5313,0.0,-3.513246885470778,16.32928548,29.468700000000013,0.00711047867794339
9.0,159.0,45.0156,0.0653,466.8917,0.0305,3.6761,160.0,235.0,214.3672,0.0,-3.4900285953687713,14.24019685,20.632800000000003,0.00685156124631007
14.0,163.0,64.5586,0.0785,637.1417,0.0283,3.7834,158.0,233.0,203.5117,0.0,-3.564893474332945,18.03111011,29.48830000000001,0.007246185572150385
7.0,166.0,72.0156,0.1129,1359.3418,0.0212,4.0516,159.0,237.0,196.4023,0.0,-3.8537540973041704,28.818046159999998,40.5977,0.007589351233340185
12.0,158.0,78.293,0.0853,780.3292,0.0257,3.8475,157.0,233.0,189.5586,0.0,-3.661264287080963,20.05446044,43.44139999999999,0.007829116870039234
35.0,198.0,101.1094,0.0712,524.2876,0.0272,3.723,155.0,215.0,180.1602,0.0,-3.6045383056801854,14.260622719999999,34.8398,0.007699240865593779
39.0,195.0,131.2539,0.069,469.7583,0.0276,3.6791,153.0,214.0,165.8008,0.0,-3.5899395062590327,12.96532908,48.19919999999999,0.008435983484141912
4.0,179.0,62.2539,0.0854,905.2333,0.0265,3.8757,153.0,238.0,204.3789,0.0,-3.6306105459899607,23.98868245,33.62110000000001,0.0076111357657544666
4.0,213.0,119.9648,0.0745,618.7792,0.0281,3.7773,45.0,239.0,163.9141,0.0,-3.571985702642437,17.387695519999998,75.08590000000001,0.0324017952763741
35.0,221.0,136.0742,0.0841,725.5333,0.0261,3.8019,65.0,220.0,157.1016,0.0,-3.6458199646534895,18.93641913,62.89840000000001,0.021544117848674903
58.0,217.0,142.4961,0.0569,351.4125,0.0334,3.548,6.0,162.0,80.3164,0.0,-3.3991993789994823,11.7371775,81.6836,0.33617044588651884
37.0,165.0,118.75,0.0403,172.4625,0.0475,3.2474,78.0,186.0,130.7383,0.0,-3.0470255679415414,8.191968750000001,55.26169999999999,0.018239608321474154
5.0,150.0,62.0859,0.0404,183.8167,0.0485,3.2203,139.0,238.0,193.7813,0.0,-3.0261914810386994,8.91510995,44.21870000000001,0.008835889819230948
4.0,93.0,19.9805,0.0235,93.7375,0.1048,2.722,184.0,239.0,228.0781,0.0,-2.2557015070951953,9.823690000000001,10.921899999999994,0.005695036233107259
4.0,182.0,43.3984,0.0539,397.3417,0.0434,3.4657,153.0,238.0,214.7773,0.0,-3.137295837875778,17.24462978,23.222700000000003,0.007242644150734531
14.0,189.0,95.8477,0.1037,1176.8668,0.0197,4.0637,154.0,233.0,183.1172,0.0,-3.9271366432381942,23.184275959999997,49.8828,0.008262397049468935
11.0,180.0,79.3711,0.0825,668.7709,0.0242,3.8326,152.0,230.0,189.2305,0.0,-3.7214026458194964,16.18425578,40.769499999999994,0.007996374235320639
5.0,169.0,45.2383,0.075,799.4958,0.0332,3.7414,155.0,236.0,211.6172,0.0,-3.405205403059694,26.54326056,24.382800000000003,0.00719497585811215
5.0,170.0,33.3945,0.063,663.4084,0.0471,3.5199,161.0,236.0,218.9219,0.0,-3.055482277959765,31.246535640000005,17.078100000000006,0.0066957143589415685
5.0,205.0,99.9414,0.1065,1388.9626,0.0221,4.0489,152.0,236.0,186.0313,0.0,-3.81217767045843,30.696073460000004,49.96870000000001,0.00834607713297369
19.0,187.0,95.0781,0.0953,968.8416,0.023,3.9469,154.0,230.0,183.8008,0.0,-3.7722610630529876,22.2833568,46.19919999999999,0.008125680048761994
14.0,173.0,78.4219,0.0946,896.3542,0.0219,3.9692,154.0,234.0,193.5469,0.0,-3.8212686421596818,19.63015698,40.453100000000006,0.00785070967026865
10.0,184.0,84.5586,0.0981,1073.5375,0.0215,4.0272,151.0,237.0,193.4531,0.0,-3.83970234384852,23.081056249999996,43.546899999999994,0.008113265819162678
10.0,204.0,98.4141,0.095,983.5042,0.0216,3.9957,152.0,237.0,186.1641,0.0,-3.835061964292018,21.24369072,50.83590000000001,0.008375462972269033
11.0,197.0,97.0078,0.0932,955.4875,0.0233,3.9227,153.0,231.0,184.0898,0.0,-3.759301918410482,22.26285875,46.9102,0.008201453429623083
9.0,171.0,87.6211,0.0924,840.9417,0.0238,3.8794,153.0,231.0,187.6367,0.0,-3.738069698304708,20.01441246,43.36330000000001,0.008046421204213394
15.0,159.0,75.3828,0.1005,1087.3751,0.0213,4.0304,157.0,232.0,198.543,0.0,-3.8490482062667577,23.16108963,33.456999999999994,0.007442755505706203
12.0,174.0,70.9336,0.0953,957.6626,0.0219,3.9634,159.0,234.0,203.3008,0.0,-3.8212686421596818,20.97281094,30.69919999999999,0.007239017816002431
5.0,173.0,48.1641,0.0721,630.2791,0.0291,3.7812,162.0,236.0,212.6133,0.0,-3.5370171048046903,18.34112181,23.38669999999999,0.006851829699538035
5.0,136.0,20.0273,0.036,257.6458,0.093,2.9908,170.0,239.0,229.375,0.0,-2.375155785828881,23.9610594,9.625,0.006129187369770797
5.0,56.0,9.1563,0.0101,32.6667,0.2477,1.8889,212.0,237.0,234.7891,0.0,-1.3955369424868231,8.09154159,2.2109000000000094,0.004761398754464696
7.0,121.0,34.1797,0.0414,296.4417,0.1252,2.958,169.0,236.0,219.8555,0.0,-2.077842820316139,37.114500840000005,16.144499999999994,0.0063516705478917366
26.0,194.0,115.9531,0.0806,697.8165,0.0261,3.8202,153.0,222.0,173.4766,0.0,-3.6458199646534895,18.21301065,48.52340000000001,0.008364127450946484
8.0,152.0,41.9141,0.0559,383.0833,0.0389,3.5219,158.0,238.0,214.8828,0.0,-3.2467610283577364,14.901940369999998,23.117199999999997,0.007010003192084478
8.0,131.0,39.1484,0.0658,519.0876,0.0315,3.6908,170.0,239.0,218.0234,0.0,-3.4577677331505496,16.3512594,20.97659999999999,0.006448309461008206
4.0,199.0,61.0703,0.075,674.8499,0.0306,3.7775,155.0,240.0,204.8398,0.0,-3.486755270023802,20.65040694,35.1602,0.007559014882723931
5.0,199.0,96.9922,0.076,714.3752,0.0296,3.745,155.0,240.0,186.7305,0.0,-3.519980917652122,21.145505919999998,53.269499999999994,0.0082920952751382
96.0,218.0,167.1484,0.0645,431.3209,0.0308,3.6145,153.0,177.0,157.3711,0.0,-3.4802405890026082,13.28468372,19.628899999999987,0.007351176582600229
41.0,197.0,143.6289,0.0586,383.4459,0.0343,3.5625,153.0,217.0,161.1641,0.0,-3.372609924810243,13.152194369999998,55.83590000000001,0.00880035103099742
4.0,166.0,53.5469,0.0812,872.3251,0.0284,3.8521,156.0,239.0,208.1836,0.0,-3.5613661338149765,24.77403284,30.816399999999987,0.00735913531157729
4.0,168.0,61.0234,0.0914,993.1415,0.0258,3.9558,155.0,239.0,203.9375,0.0,-3.6573807870545654,25.6230507,35.0625,0.0075608237027077795
5.0,195.0,67.9102,0.128,1989.3917,0.0209,4.1868,132.0,238.0,202.3711,0.0,-3.868006120011372,41.57828652999999,35.62889999999999,0.00890952464571425
6.0,229.0,97.625,0.0719,613.7458,0.0301,3.7243,1.0,237.0,134.0742,0.0,-3.503230107227307,18.47374858,102.92580000000001,1.7676778977610905
55.0,190.0,113.5586,0.0589,387.3833,0.0358,3.5328,47.0,148.0,102.4922,0.0,-3.3298073855754824,13.86832214,45.5078,0.030723666485964456
24.0,182.0,108.0859,0.0566,379.5084,0.0353,3.5302,93.0,222.0,154.707,0.0,-3.343872315042886,13.39664652,67.293,0.015429791633174636
19.0,176.0,93.3633,0.0703,511.6166,0.0276,3.7177,155.0,227.0,185.0664,0.0,-3.5899395062590327,14.12061816,41.93360000000001,0.007913463108550543
11.0,199.0,111.0195,0.0938,972.0583,0.0239,3.9395,152.0,234.0,178.4883,0.0,-3.733876820044672,23.23219337,55.51169999999999,0.008625067773128693
12.0,166.0,81.5664,0.0862,802.5792,0.0237,3.8782,153.0,229.0,188.4922,0.0,-3.7422802308410517,19.02112704,40.5078,0.007940551524910798
9.0,167.0,61.8086,0.0704,536.7501,0.0289,3.7088,155.0,231.0,200.7109,0.0,-3.543913683863751,15.512077889999999,30.28909999999999,0.007425219958881961
17.0,157.0,68.3047,0.056,342.5375,0.0335,3.544,157.0,227.0,196.1602,0.0,-3.396209840151116,11.475006250000002,30.839799999999997,0.007370811574475684
5.0,174.0,81.8438,0.061,410.7584,0.0314,3.6298,153.0,236.0,188.5625,0.0,-3.4609473860679296,12.897813759999998,47.4375,0.008180224912857642
6.0,167.0,50.168,0.0772,754.1251,0.0279,3.8231,157.0,237.0,210.418,0.0,-3.579128590154817,21.040090290000002,26.581999999999994,0.007174073226280016
7.0,177.0,81.7383,0.109,1259.3628,0.0214,4.0212,157.0,236.0,194.1172,0.0,-3.844364356954331,26.95036392,41.8828,0.00774369666044944
10.0,157.0,71.6641,0.0954,959.3207,0.0227,3.9584,155.0,237.0,199.5195,0.0,-3.78539035449478,21.77657989,37.480500000000006,0.007663573024513977
6.0,135.0,56.3633,0.0805,749.2582,0.0265,3.855,165.0,241.0,208.1563,0.0,-3.6306105459899607,19.8553423,32.84370000000001,0.007016871747845541
7.0,155.0,44.6367,0.0653,549.5833,0.0362,3.6145,161.0,240.0,215.7852,0.0,-3.3186961601504117,19.894915460000004,24.214799999999997,0.0069081810514051226
7.0,179.0,81.9336,0.0796,701.3708,0.025,3.8536,153.0,238.0,194.7969,0.0,-3.6888794541139363,17.534270000000003,43.203100000000006,0.007985525208848578
7.0,176.0,81.75,0.0976,1012.6793,0.0217,3.999,153.0,238.0,193.0781,0.0,-3.830443018435723,21.97514081,44.921899999999994,0.008056613129896946
9.0,182.0,75.8359,0.1063,1156.5585,0.0199,4.0436,155.0,237.0,199.1133,0.0,-3.9170355472516905,23.01551415,37.88669999999999,0.007679207054800036
11.0,183.0,80.6367,0.1057,1190.2375,0.0212,4.0224,155.0,234.0,197.3398,0.0,-3.8537540973041704,25.233034999999997,36.6602,0.007650141630602842
14.0,192.0,97.6016,0.0854,758.9916,0.0238,3.8802,155.0,233.0,186.6211,0.0,-3.738069698304708,18.06400008,46.37889999999999,0.00805496166538303
10.0,177.0,81.7539,0.0744,577.2333,0.0269,3.7812,154.0,236.0,193.4258,0.0,-3.6156289923743437,15.52757577,42.57419999999999,0.00792276693423283
8.0,151.0,59.1992,0.0832,721.5791,0.0235,3.8948,158.0,234.0,205.9375,0.0,-3.750754857832024,16.95710885,28.0625,0.007191563742532798
7.0,152.0,29.6172,0.0472,336.2209,0.0535,3.3347,166.0,236.0,222.5391,0.0,-2.928073625080176,17.98781815,13.46090000000001,0.006388480707381094
9.0,157.0,38.3633,0.0559,497.275,0.0497,3.4708,154.0,234.0,216.7461,0.0,-3.001750345879554,24.7145675,17.253899999999987,0.007010416886303926
7.0,91.0,25.6641,0.0403,266.9459,0.065,3.1878,192.0,237.0,225.2227,0.0,-2.7333680090865,17.3514835,11.777299999999997,0.005480686449456471
7.0,85.0,13.6797,0.018,85.6792,0.1923,2.2792,198.0,239.0,232.918,0.0,-1.648698626387403,16.476110159999998,6.081999999999994,0.005182384818136456
4.0,162.0,39.875,0.0592,519.0958,0.0416,3.5424,155.0,239.0,218.332,0.0,-3.1796551117149194,21.59438528,20.668000000000006,0.007062343054939119
5.0,179.0,44.8711,0.0549,455.2959,0.0444,3.4642,155.0,240.0,213.4922,0.0,-3.114515809543958,20.215137960000003,26.507800000000003,0.00725266354824295
10.0,200.0,98.3945,0.1145,1335.8457,0.0177,4.1446,154.0,236.0,184.3867,0.0,-4.034190639402354,23.644468890000002,51.61330000000001,0.00831116090513867
6.0,169.0,61.4141,0.0703,636.0584,0.0303,3.7068,155.0,239.0,204.5977,0.0,-3.4966075664668135,19.27256952,34.4023,0.007536426283731282
9.0,149.0,52.8516,0.069,545.2167,0.0307,3.6996,160.0,236.0,207.9727,0.0,-3.4834926243889854,16.73815269,28.027299999999997,0.0070922770152043995
7.0,176.0,69.7461,0.0907,964.5916,0.0238,3.939,155.0,233.0,197.6406,0.0,-3.738069698304708,22.95728008,35.359399999999994,0.0076058553073185
4.0,181.0,51.957,0.1034,1252.1793,0.0219,4.0446,155.0,239.0,211.4727,0.0,-3.8212686421596818,27.42272667,27.527299999999997,0.007291416262576529
5.0,169.0,39.3125,0.072,868.6791,0.0431,3.6115,77.0,237.0,203.2266,0.0,-3.144232281872435,37.44006921,33.77340000000001,0.01514527172093652
